"Coefficient","Distance","Screen","amean","max","maxPos","min","minPos","quartile1","quartile2","quartile3","range","stddev"
1,"close","off",-0.008558606,15.12774,803,-26.28442,568,-2.020437,0.1873247,2.399654,41.41216,4.567636
2,"close","off",-2.957085,21.424,713,-40.05948,774,-5.362764,-2.685702,0.05392124,61.48347,6.732382
3,"close","off",-3.534285,31.80813,757,-29.24441,641,-6.804505,-4.220353,-1.35183,61.05254,7.128882
4,"close","off",-3.482004,11.73446,501,-36.55236,803,-5.781915,-2.751873,-0.07187192,48.28682,6.034297
5,"close","off",-4.756207,24.65241,822,-40.08751,629,-7.805099,-4.335067,-1.129342,64.73991,7.713661
6,"close","off",-1.812603,19.8474,806,-69.07723,534,-3.548974,0.1054971,3.461637,88.92464,9.892449
7,"close","off",-2.3662,29.38882,853,-29.0689,757,-5.757024,-2.312242,1.221313,58.45771,6.131989
8,"close","off",-3.561338,20.1878,501,-41.9111,799,-7.030564,-2.852705,1.243482,62.0989,7.501519
9,"close","off",-0.1083306,23.22644,822,-28.30306,587,-3.596038,0.1200914,3.609466,51.5295,6.012933
10,"close","off",-2.748868,26.43839,856,-34.64371,771,-6.1102,-2.31189,1.037195,61.0821,6.480308
11,"close","off",-3.17279,21.87482,643,-38.39394,586,-6.288276,-2.213198,1.068086,60.26875,7.020737
12,"close","off",-3.4721,13.94067,737,-31.39651,803,-6.5484,-3.078616,0.1161468,45.33717,5.846585
