"Coefficient","Distance","Screen","amean","max","maxPos","min","minPos","quartile1","quartile2","quartile3","range","stddev"
1,"far","on",0.03814346,18.5621,574,-29.5497,357,-2.357047,0.73522,2.77849,48.1118,4.92037
2,"far","on",-4.810093,16.26994,361,-40.19818,741,-7.122789,-4.399955,-1.143917,56.46812,6.83075
3,"far","on",-4.03713,27.67969,363,-25.72037,653,-6.837706,-4.369947,-1.724348,53.40006,6.066767
4,"far","on",-2.462317,20.26714,594,-23.35288,363,-5.312467,-2.410036,0.8038617,43.62002,5.134924
5,"far","on",-1.90752,31.17106,793,-37.78783,370,-5.132809,-1.4569,1.332665,68.95889,7.334779
6,"far","on",0.4271717,17.48029,236,-61.55712,411,-2.054215,2.205102,6.076561,79.03741,9.730074
7,"far","on",-1.192122,34.81044,436,-28.88034,377,-4.086853,-0.758313,2.55019,63.69078,6.543269
8,"far","on",-5.012767,21.02666,380,-46.61986,665,-8.410695,-3.576091,0.172368,67.64651,8.703419
9,"far","on",-1.474554,27.57322,791,-24.86038,501,-4.982013,-1.403785,2.03289,52.4336,6.220485
10,"far","on",-5.038584,19.87269,430,-29.92459,478,-8.851781,-5.064116,-1.494308,49.79728,6.316738
11,"far","on",-2.986242,20.71378,542,-24.21309,435,-6.175083,-2.615973,1.049163,44.92686,6.224499
12,"far","on",-3.596571,19.32722,411,-31.89312,670,-7.15089,-2.940295,0.5570173,51.22034,6.502828
