Coefficient,Functional,Distance,Screen,Value
1,amean,close,off,-0.008558606
2,amean,close,off,-2.957085
3,amean,close,off,-3.534285
4,amean,close,off,-3.482004
5,amean,close,off,-4.756207
6,amean,close,off,-1.812603
7,amean,close,off,-2.3662
8,amean,close,off,-3.561338
9,amean,close,off,-0.1083306
10,amean,close,off,-2.748868
11,amean,close,off,-3.17279
12,amean,close,off,-3.4721
1,max,close,off,15.12774
2,max,close,off,21.424
3,max,close,off,31.80813
4,max,close,off,11.73446
5,max,close,off,24.65241
6,max,close,off,19.8474
7,max,close,off,29.38882
8,max,close,off,20.1878
9,max,close,off,23.22644
10,max,close,off,26.43839
11,max,close,off,21.87482
12,max,close,off,13.94067
1,maxPos,close,off,803
2,maxPos,close,off,713
3,maxPos,close,off,757
4,maxPos,close,off,501
5,maxPos,close,off,822
6,maxPos,close,off,806
7,maxPos,close,off,853
8,maxPos,close,off,501
9,maxPos,close,off,822
10,maxPos,close,off,856
11,maxPos,close,off,643
12,maxPos,close,off,737
1,min,close,off,-26.28442
2,min,close,off,-40.05948
3,min,close,off,-29.24441
4,min,close,off,-36.55236
5,min,close,off,-40.08751
6,min,close,off,-69.07723
7,min,close,off,-29.0689
8,min,close,off,-41.9111
9,min,close,off,-28.30306
10,min,close,off,-34.64371
11,min,close,off,-38.39394
12,min,close,off,-31.39651
1,minPos,close,off,568
2,minPos,close,off,774
3,minPos,close,off,641
4,minPos,close,off,803
5,minPos,close,off,629
6,minPos,close,off,534
7,minPos,close,off,757
8,minPos,close,off,799
9,minPos,close,off,587
10,minPos,close,off,771
11,minPos,close,off,586
12,minPos,close,off,803
1,quartile1,close,off,-2.020437
2,quartile1,close,off,-5.362764
3,quartile1,close,off,-6.804505
4,quartile1,close,off,-5.781915
5,quartile1,close,off,-7.805099
6,quartile1,close,off,-3.548974
7,quartile1,close,off,-5.757024
8,quartile1,close,off,-7.030564
9,quartile1,close,off,-3.596038
10,quartile1,close,off,-6.1102
11,quartile1,close,off,-6.288276
12,quartile1,close,off,-6.5484
1,quartile2,close,off,0.1873247
2,quartile2,close,off,-2.685702
3,quartile2,close,off,-4.220353
4,quartile2,close,off,-2.751873
5,quartile2,close,off,-4.335067
6,quartile2,close,off,0.1054971
7,quartile2,close,off,-2.312242
8,quartile2,close,off,-2.852705
9,quartile2,close,off,0.1200914
10,quartile2,close,off,-2.31189
11,quartile2,close,off,-2.213198
12,quartile2,close,off,-3.078616
1,quartile3,close,off,2.399654
