"Coefficient","Distance","Screen","amean","max","maxPos","min","minPos","quartile1","quartile2","quartile3","range","stddev"
1,"close","on",0.1761362,17.93765,609,-19.66938,400,-2.199382,0.3343248,2.858644,37.60703,4.911578
2,"close","on",-3.334873,19.02005,640,-29.97468,458,-6.420352,-2.773302,0.47584,48.99473,6.846916
3,"close","on",-3.435544,28.52,407,-31.46636,911,-7.023952,-3.944941,-1.135793,59.98637,7.484579
4,"close","on",-4.249566,16.30351,1068,-36.76833,572,-6.818141,-2.958239,0.08990151,53.07184,7.478992
5,"close","on",-4.521859,35.89966,912,-43.11157,479,-8.067175,-4.560219,-1.04899,79.01123,8.365682
6,"close","on",-2.168351,28.0568,724,-60.20396,458,-4.96273,0.1105482,3.764765,88.26077,10.35658
7,"close","on",-3.406367,17.34411,900,-35.09273,406,-7.052643,-2.607528,1.041766,52.43684,7.00075
8,"close","on",-2.431724,31.2106,419,-34.37865,481,-6.381195,-1.886106,2.318997,65.58925,7.835943
9,"close","on",0.8179141,40.30797,898,-19.52425,404,-3.233485,0.699256,4.354104,59.83222,6.642489
10,"close","on",-4.094186,22.17212,973,-48.85002,517,-7.334876,-3.038564,0.8566749,71.02215,8.312702
11,"close","on",-4.713079,19.44627,573,-39.21583,698,-7.685325,-3.376903,0.3223245,58.6621,8.09591
12,"close","on",-3.054499,28.58611,910,-25.93792,478,-6.381612,-3.056101,0.3257221,54.52403,5.92936
